import time: self [us] | cumulative | imported package
import time:       392 |        392 |   _io
import time:       346 |        346 |   marshal
import time:       386 |        386 |   posix
import time:      1045 |       2167 | _frozen_importlib_external
import time:      1035 |       1035 |   time
import time:       316 |       1350 | zipimport
import time:        68 |         68 |     _codecs
import time:       969 |       1036 |   codecs
import time:      1361 |       1361 |   encodings.aliases
import time:      1128 |       3523 | encodings
import time:       462 |        462 | encodings.utf_8
import time:       121 |        121 | _signal
import time:       831 |        831 | encodings.latin_1
import time:        44 |         44 |     _abc
import time:       475 |        518 |   abc
import time:       654 |       1171 | io
import time:        77 |         77 |       _stat
import time:       725 |        801 |     stat
import time:      1931 |       1931 |     _collections_abc
import time:       461 |        461 |       genericpath
import time:       702 |       1162 |     posixpath
import time:      1754 |       5646 |   os
import time:       700 |        700 |   _sitebuiltins
import time:       162 |        162 |     _locale
import time:     26935 |      27096 |   _bootlocale
import time:      2052 |       2052 |   sitecustomize
import time:    117438 |     152931 | site
import time:      1299 |       1299 |       types
import time:      1786 |       1786 |       _ctypes
import time:      2183 |       2183 |         _struct
import time:       994 |       3177 |       struct
import time:       934 |        934 |       ctypes._endian
import time:      3033 |      10228 |     ctypes
import time:      1309 |       1309 |           enum
import time:      1116 |       1116 |             _sre
import time:      1049 |       1049 |               sre_constants
import time:      1181 |       2230 |             sre_parse
import time:      1023 |       4368 |           sre_compile
import time:       752 |        752 |                 _heapq
import time:       687 |       1438 |               heapq
import time:       156 |        156 |               itertools
import time:       432 |        432 |               keyword
import time:        87 |         87 |                 _operator
import time:       866 |        952 |               operator
import time:       544 |        544 |               reprlib
import time:        91 |         91 |               _collections
import time:      1839 |       5448 |             collections
import time:        53 |         53 |             _functools
import time:      1495 |       6995 |           functools
import time:       574 |        574 |           copyreg
import time:       980 |      14224 |         re
import time:      1425 |       1425 |           _json
import time:      1015 |       2439 |         json.scanner
import time:      1261 |      17924 |       json.decoder
import time:      1431 |       1431 |       json.encoder
import time:       745 |      20099 |     json
import time:      1933 |       1933 |       _socket
import time:       421 |        421 |         collections.abc
import time:      1836 |       1836 |         math
import time:      2647 |       2647 |         select
import time:      1720 |       6624 |       selectors
import time:        97 |         97 |       errno
import time:      1376 |       1376 |       array
import time:      2768 |      12796 |     socket
import time:      1127 |       1127 |       contextlib
import time:      3845 |       4971 |     typing
import time:       520 |        520 |           _weakrefset
import time:      1092 |       1612 |         weakref
import time:       105 |        105 |             org
import time:        16 |        120 |           org.python
import time:        16 |        135 |         org.python.core
import time:      1740 |       3486 |       copy
import time:       483 |        483 |       warnings
import time:      2685 |       2685 |           _ast
import time:      2595 |       5280 |         ast
import time:      1373 |       1373 |             _opcode
import time:      1119 |       2492 |           opcode
import time:      1231 |       3722 |         dis
import time:       891 |        891 |           importlib
import time:       777 |       1668 |         importlib.machinery
import time:       508 |        508 |             token
import time:      1995 |       2502 |           tokenize
import time:       777 |       3279 |         linecache
import time:      5965 |      19911 |       inspect
import time:     49611 |      49611 |             numpy._utils._convertions
import time:     41697 |      91308 |           numpy._utils
import time:     76699 |     168006 |         numpy._globals
import time:     70413 |      70413 |         numpy._expired_attrs_2_0
import time:    114552 |     114552 |         numpy.version
import time:       142 |        142 |           numpy._distributor_init_local
import time:     60367 |      60509 |         numpy._distributor_init
import time:     26763 |      26763 |                   numpy._utils._inspect
import time:      1520 |       1520 |                       _datetime
import time:      3058 |       4578 |                     datetime
import time:     28668 |      28668 |                     numpy.exceptions
import time:     46392 |      46392 |                     numpy._core._exceptions
import time:     39468 |      39468 |                     numpy.dtypes
import time:     10019 |     129124 |                   numpy._core._multiarray_umath
import time:     45154 |     201040 |                 numpy._core.overrides
import time:     31699 |     232739 |               numpy._core.multiarray
import time:     52942 |      52942 |               numpy._core.umath
import time:      1733 |       1733 |                 numbers
import time:     26179 |      26179 |                 numpy._core._string_helpers
import time:     37467 |      37467 |                 numpy._core._type_aliases
import time:    102478 |     102478 |                 numpy._core._dtype
import time:     28946 |     196801 |               numpy._core.numerictypes
import time:      2657 |       2657 |                         _compat_pickle
import time:      1524 |       1524 |                         _pickle
import time:       215 |        215 |                             org
import time:        24 |        238 |                           org.python
import time:        25 |        263 |                         org.python.core
import time:      2639 |       7082 |                       pickle
import time:      1498 |       1498 |                           _contextvars
import time:       743 |       2241 |                         contextvars
import time:     76680 |      78921 |                       numpy._core._ufunc_config
import time:     28012 |     114014 |                     numpy._core._methods
import time:     50417 |     164430 |                   numpy._core.fromnumeric
import time:     48517 |     212947 |                 numpy._core.shape_base
import time:     42396 |      42396 |                 numpy._core.arrayprint
import time:     55181 |      55181 |                 numpy._core._asarray
import time:     51756 |     362278 |               numpy._core.numeric
import time:    150663 |     150663 |               numpy._core.records
import time:     70730 |      70730 |               numpy._core.memmap
import time:    137603 |     137603 |               numpy._core.function_base
import time:    322657 |     322657 |               numpy._core._machar
import time:    126610 |     126610 |               numpy._core.getlimits
import time:     59644 |      59644 |               numpy._core.einsumfunc
import time:     46132 |      46132 |                 numpy._core._multiarray_tests
import time:     86604 |     132735 |               numpy._core._add_newdocs
import time:     44384 |      44384 |               numpy._core._add_newdocs_scalars
import time:     36961 |      36961 |               numpy._core._dtype_ctypes
