Feature,Coefficient,AbsoluteImportance
numeric__Expected Monthly Salary for New Role / Progression (LKR),7.827527731646872,7.827527731646872
numeric__Current Monthly Base Salary (LKR),-7.804817802388326,7.804817802388326
categorical__Primary / Preferred Employment District in Sri Lanka_Monaragala,2.4199654702194873,2.4199654702194873
categorical__Job Role / Professional Designation_Laboratory Technician,2.111743774905762,2.111743774905762
numeric__Job Involvement & Sense of Purpose,-2.1115795849239856,2.1115795849239856
categorical__Primary / Preferred Employment District in Sri Lanka_Matale,-1.9984595782723669,1.9984595782723669
categorical__Primary / Preferred Employment District in Sri Lanka_Kilinochchi,1.6696940528775892,1.6696940528775892
categorical__Primary / Preferred Employment District in Sri Lanka_Galle,1.6620399922783486,1.6620399922783486
categorical__Highest Level of Completed Education_Doctorate / PhD,1.6548743949719789,1.6548743949719789
numeric__Years in Current Role,1.643061789431142,1.643061789431142
numeric__Work-Life Balance Rating,-1.499948116389027,1.499948116389027
numeric__Overall Job & Role Satisfaction,-1.4651811354809303,1.4651811354809303
categorical__Highest Level of Completed Education_Postgraduate Professional / MPhil,-1.4621063802094156,1.4621063802094156
categorical__Job Role / Professional Designation_Healthcare Representative,-1.4528176348071806,1.4528176348071806
categorical__Job Role / Professional Designation_Manufacturing Director,-1.437128522582359,1.437128522582359
numeric__Physical & Virtual Work Environment Satisfaction,-1.3499726440210844,1.3499726440210844
categorical__Primary / Preferred Employment District in Sri Lanka_Badulla,-1.2525217250019567,1.2525217250019567
categorical__Primary / Preferred Employment District in Sri Lanka_Batticaloa,-1.1881808862534236,1.1881808862534236
categorical__Primary / Preferred Employment District in Sri Lanka_Mullaitivu,1.0972074222418422,1.0972074222418422
categorical__Primary / Preferred Employment District in Sri Lanka_Vavuniya,-1.0513928771934726,1.0513928771934726
categorical__Primary / Preferred Employment District in Sri Lanka_Puttalam,1.0193763225237473,1.0193763225237473
numeric__Interpersonal & Management Relationship Satisfaction,-1.0085500934498426,1.0085500934498426
categorical__Functional Department_Information Technology,-0.9791920845088058,0.9791920845088058
categorical__Contractual Notice Period_30 Days (One Month),-0.9763543222130173,0.9763543222130173
numeric__Total Years of Service with Current Company,-0.9672285812122942,0.9672285812122942
categorical__Functional Department_Sales,0.946277501519716,0.946277501519716
categorical__Functional Department_Research & Development,-0.9132418935883405,0.9132418935883405
categorical__Functional Department_Human Resources,0.8550112977667513,0.8550112977667513
categorical__Academic Discipline / Field of Study_Other Disciplines,-0.8461376552680568,0.8461376552680568
categorical__Primary / Preferred Employment District in Sri Lanka_Kurunegala,-0.8193772650456799,0.8193772650456799
categorical__Contractual Notice Period_60 Days (Two Months),0.7869961318250706,0.7869961318250706
categorical__Primary / Preferred Employment District in Sri Lanka_Ratnapura,0.7677541490182105,0.7677541490182105
categorical__Primary / Preferred Employment District in Sri Lanka_Negambo,-0.7403404782572774,0.7403404782572774
categorical__Primary / Preferred Employment District in Sri Lanka_Kandy,-0.7295651324154209,0.7295651324154209
categorical__Academic Discipline / Field of Study_Medical (Medicine / Nursing / Allied Health Sciences),-0.7267885976530919,0.7267885976530919
categorical__Business Travel Frequency_Non-Travel,0.6455101435809047,0.6455101435809047
categorical__Job Role / Professional Designation_Human Resources,-0.6363292071548934,0.6363292071548934
categorical__Academic Discipline / Field of Study_Marketing (Business / Commerce / Marketing Management),0.6271210478668932,0.6271210478668932
categorical__Primary / Preferred Employment District in Sri Lanka_Trincomalee,-0.6251200867513126,0.6251200867513126
categorical__Marital Status_Divorced,-0.56607746691511,0.56607746691511
categorical__Primary / Preferred Employment District in Sri Lanka_Hambantota,-0.5207952574423402,0.5207952574423402
categorical__Marital Status_Single,0.466991108339351,0.466991108339351
numeric__Years Working with Current Manager,-0.45045598085203586,0.45045598085203586
categorical__Work Operating Model_On-site (Fully Office/Facility-Based),-0.44679597736181664,0.44679597736181664
categorical__Primary / Preferred Employment District in Sri Lanka_Colombo,0.42497625488331836,0.42497625488331836
categorical__Job Role / Professional Designation_Manager,0.4118459958506229,0.4118459958506229
categorical__Primary / Preferred Employment District in Sri Lanka_Kalutara,-0.4048585164725615,0.4048585164725615
