Feature,Mean_Absolute_SHAP,Is_Engineered_Ratio,Rank
OverTime,0.5934575645128023,False,1
StockOptionLevel,0.47232716054860724,False,2
AverageSatisfaction,0.3167306312950958,True,3
NumCompaniesWorked,0.21890434448496188,False,4
DistanceFromHome,0.19080124660170578,False,5
BusinessTravel,0.1826396960388572,False,6
OfferedSalaryLKR,0.17960182942782582,False,7
Department,0.15831954669606113,False,8
EducationField,0.15786690241561968,False,9
DailyRate,0.15506461308307662,False,10
JobRole,0.1421402101299177,False,11
JobLevel,0.14040166358361497,False,12
JobInvolvement,0.13860721419952637,False,13
ExpectedSalaryLKR,0.13816725240819747,False,14
EnvironmentSatisfaction,0.12164830416431607,False,15
MonthlyIncomeLKR,0.11981256423964022,False,16
RoleTenureRatio,0.10423848981418528,True,17
TotalWorkingYears,0.10151058974032391,False,18
ConfidenceScore,0.09760705030422859,False,19
ManagerTenureRatio,0.09596375558997564,True,20
MatchScore,0.09488166314408088,False,21
PromotionDelayRatio,0.08884415286018847,True,22
JobSatisfaction,0.08028499803382524,False,23
YearsAtCompany,0.07980073762362257,False,24
CommunicationScore,0.07571871209380855,False,25
YearsWithCurrManager,0.07351579185109651,False,26
YearsSinceLastPromotion,0.06846055086899837,False,27
TrainingTimesLastYear,0.06120543145178429,False,28
InterviewComponentAverage,0.05948172402461426,True,29
TechnicalScore,0.050099723464086796,False,30
SalaryGapLKR,0.048805358631607836,False,31
PercentSalaryHike,0.04454035134568237,False,32
HourlyRate,0.04435578820624448,False,33
MonthlyRate,0.04276993117708572,False,34
NoticePeriodDays,0.041876354523570136,False,35
WorkLifeBalance,0.040665782520408075,False,36
SalaryGapPercentage,0.039611825496156904,False,37
OfferExpectedRatio,0.039182722102485086,True,38
JobSimilarityScore,0.03762741714183303,False,39
YearsInCurrentRole,0.03330258099157892,False,40
MatchInterviewAverage,0.03213544257067461,True,41
RelationshipSatisfaction,0.028766431221736683,False,42
BehaviourScore,0.02593984091110806,False,43
PreferredWorkLocation,0.024947217686408354,False,44
WorkType,0.021916390429243735,False,45
InterviewScore,0.0195020085124974,False,46
Education,0.014326613381560698,False,47
MentorshipProgramme,0.007628699478419365,False,48
CareerDevelopmentPlan,0.005833874874849537,False,49
TrainingProgramme,0.004380200187120032,False,50
CertificationOpportunity,0.002285686976285593,False,51
PerformanceRating,0.0018415241644719922,False,52
